subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
26;20;m;r;n;n;n;1;series1c;0;0;-60;0;5;2;8;as;ic;0;9;0;1;1.15972505853;BJHK;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_s_e.png;161.780610106;1
26;20;m;r;n;n;n;1;series1c;1;1;-60;0;7;2;8;as;ic;0;1;0;1;1.29231187202;WXTG;WXTG;1;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;174.082678053;1
26;20;m;r;n;n;n;1;series1c;2;1;60;0;4;2;8;sym;ic;0;1;0;1;1.1815105782;CYPQ;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;183.236222664;1
26;20;m;r;n;n;n;1;series1c;3;0;10;0;3;2;8;sym;ic;0;9;0;1;1.16147287488;GVQB;-99;-99;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_s_c.png;191.172086558;1
26;20;m;r;n;n;n;1;series1c;4;1;120;0;1;2;8;sym;c;0;1;0;1;1.19347934694;YZFG;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;198.691960196;1
26;20;m;r;n;n;n;1;series1c;5;0;10;0;9;2;8;as;ic;0;9;0;1;1.01672651203;GWKF;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;205.971853515;1
26;20;m;r;n;n;n;1;series1c;6;1;-10;0;4;2;8;sym;ic;0;9;0;0;2.25386232701;BJHP;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;214.275703994;1
26;20;m;r;n;n;n;1;series1c;7;0;120;0;7;2;8;as;ic;0;9;0;1;1.23913901178;QKXV;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;221.731523936;1
26;20;m;r;n;n;n;1;series1c;8;1;-60;0;4;2;8;sym;c;0;1;0;1;1.42182566815;SQMC;SQMC;1;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;234.063692662;1
26;20;m;r;n;n;n;1;series1c;9;0;10;0;8;2;8;as;c;0;9;0;1;0.956310930196;DRVZ;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;240.995153809;1
26;20;m;r;n;n;n;1;series1c;10;0;60;0;1;2;8;as;ic;0;9;0;1;1.30986821947;YHGQ;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;248.275055581;1
26;20;m;r;n;n;n;1;series1c;11;1;-120;0;9;2;8;as;ic;0;1;0;1;1.01472090029;TQBZ;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;255.186881114;1
26;20;m;r;n;n;n;1;series1c;12;0;120;0;8;2;8;sym;c;0;9;0;1;1.20990097216;WLNG;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;262.370769205;1
26;20;m;r;n;n;n;1;series1c;13;0;-60;0;9;2;8;sym;c;0;9;0;1;0.929025373523;KVJP;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;269.234676797;1
26;20;m;r;n;n;n;1;series1c;14;1;-60;0;5;2;8;as;ic;0;9;0;0;1.05579699973;VPBF;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;276.178517858;1
26;20;m;r;n;n;n;1;series1c;15;1;-60;0;6;2;8;sym;ic;0;1;0;1;1.22051193814;TLDX;TLDX;1;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;287.087285164;1
26;20;m;r;n;n;n;1;series1c;16;1;120;0;3;2;8;as;ic;0;1;0;1;1.56447193456;WFYK;WFYK;1;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;299.442138373;1
26;20;m;r;n;n;n;1;series1c;17;1;-60;0;1;2;8;as;ic;0;1;0;1;1.10297898545;BZJX;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;306.769967444;1
26;20;m;r;n;n;n;1;series1c;18;0;10;0;4;2;8;sym;ic;0;-1;1;-99999;-1;GJWF;GJWF;1;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_s_d.png;321.188238917;1
26;20;m;r;n;n;n;1;series1c;19;1;60;0;2;2;8;sym;c;0;-1;1;-99999;-1;XKDH;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_d_b.png;331.36463766;1
26;20;m;r;n;n;n;1;series1c;20;0;-60;0;1;2;8;sym;ic;0;9;0;1;0.659486733653;QYBG;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;338.945332893;1
26;20;m;r;n;n;n;1;series1c;21;1;-60;0;6;2;8;as;ic;0;1;0;1;0.803031057687;ZRJP;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;345.937285391;1
26;20;m;r;n;n;n;1;series1c;22;0;120;0;9;2;8;sym;c;0;1;0;0;0.726589297861;PDBR;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;352.865160345;1
26;20;m;r;n;n;n;1;series1c;23;1;-10;0;3;2;8;as;c;0;9;0;0;1.23850629621;ZTVS;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;360.24100516;1
26;20;m;r;n;n;n;1;series1c;24;1;120;0;10;2;8;sym;ic;0;1;0;1;1.40970113548;BPLX;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;367.712842828;1
26;20;m;r;n;n;n;1;series1c;25;0;120;0;9;2;8;as;c;0;9;0;1;1.18744953143;FJZS;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;375.040771213;1
26;20;m;r;n;n;n;1;series1c;26;1;-10;0;1;2;8;as;ic;0;1;0;1;1.37214753503;LWHK;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;382.432605982;1
26;20;m;r;n;n;n;1;series1c;27;0;-60;0;5;2;8;sym;c;0;1;0;0;2.57050929678;JLZQ;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;391.056436055;1
26;20;m;r;n;n;n;1;series1c;28;1;-120;0;6;2;8;sym;ic;0;1;0;1;0.762180453734;MXPV;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;397.968264002;1
26;20;m;r;n;n;n;1;series1c;29;0;120;0;6;2;8;sym;ic;0;9;0;1;1.38211944619;WZBR;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;405.296147408;1
26;20;m;r;n;n;n;1;series1c;30;0;10;0;1;2;8;sym;c;0;9;0;1;1.54287266752;ZTBF;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;412.97598941;1
26;20;m;r;n;n;n;1;series1c;31;0;-10;0;5;2;8;as;ic;0;9;0;1;1.16248171811;QYWN;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_s_e.png;420.223885616;1
26;20;m;r;n;n;n;1;series1c;32;1;60;0;5;2;8;as;c;0;1;0;1;1.14082358677;LFRQ;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;427.47172658;1
26;20;m;r;n;n;n;1;series1c;33;1;-120;0;4;2;8;as;ic;0;1;0;1;1.46768154726;QYVD;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_d_d.png;434.927637384;1
26;20;m;r;n;n;n;1;series1c;34;0;60;0;5;2;8;sym;ic;0;9;0;1;0.965778419763;XKRY;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;441.679550398;1
26;20;m;r;n;n;n;1;series1c;35;1;-60;0;6;2;8;as;c;0;1;0;1;1.30567889384;VRMJ;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;449.039376884;1
26;20;m;r;n;n;n;1;series1c;36;1;-120;0;3;2;8;sym;c;0;1;0;1;1.26929986219;NTBH;NTBH;1;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_d_c.png;460.150634904;1
26;20;m;r;n;n;n;1;series1c;37;1;10;0;7;2;8;sym;ic;0;9;0;0;1.55364120862;RWZH;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_d_g.png;468.319003352;1
26;20;m;r;n;n;n;1;series1c;38;1;120;0;5;2;8;as;c;0;9;0;0;1.35406503144;HTRX;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;475.934858975;1
26;20;m;r;n;n;n;1;series1c;39;1;10;0;1;2;8;as;c;0;1;0;1;2.5341667912;LRVG;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;484.462727892;1
26;20;m;r;n;n;n;1;series1c;40;1;10;0;6;2;8;sym;c;0;1;0;1;1.00724423092;LBSK;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;491.390581715;1
26;20;m;r;n;n;n;1;series1c;41;1;-120;0;2;2;8;as;c;0;1;0;1;1.43927455056;NQYH;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;498.686466498;1
26;20;m;r;n;n;n;1;series1c;42;1;120;0;10;2;8;as;ic;0;9;0;0;1.64204690729;PMVX;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;506.174340305;1
26;20;m;r;n;n;n;1;series1c;43;0;60;0;1;2;8;sym;c;0;1;0;0;1.16419059348;JWLG;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;513.278169653;1
26;20;m;r;n;n;n;1;series1c;44;0;120;0;2;2;8;as;ic;0;1;0;0;1.54959527033;RGMS;RGMS;1;2d_8u_as_c_s_b.png;2d_8u_as_c_s_b.png;525.263904875;1
26;20;m;r;n;n;n;1;series1c;45;1;10;0;6;2;8;sym;ic;0;1;0;1;1.36919707611;MDSG;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;532.701859658;1
26;20;m;r;n;n;n;1;series1c;46;0;60;0;9;2;8;as;ic;0;1;0;0;2.38598758416;ZNPJ;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;540.925689429;1
26;20;m;r;n;n;n;1;series1c;47;1;-60;0;9;2;8;sym;ic;0;1;0;1;2.05195421868;YGRX;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;549.405569769;1
26;20;m;r;n;n;n;1;series1c;48;1;10;0;7;2;8;sym;c;0;1;0;1;1.33017066114;DXYH;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_d_g.png;556.733464344;1
26;20;m;r;n;n;n;1;series1c;49;1;-60;0;10;2;8;sym;c;0;1;0;1;1.09361020676;CNLP;CNLP;1;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;568.007073977;1
26;20;m;r;n;n;n;1;series1c;50;1;120;0;9;2;8;sym;c;0;1;0;1;1.23909161848;HFJC;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;576.173022349;1
26;20;m;r;n;n;n;1;series1c;51;1;10;0;4;2;8;sym;c;0;1;0;1;1.24596847591;SLFN;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;583.308917335;1
26;20;m;r;n;n;n;1;series1c;52;0;-10;0;8;2;8;sym;c;0;9;0;1;1.44954802797;FWJX;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;590.828796407;1
26;20;m;r;n;n;n;1;series1c;53;0;-10;0;9;2;8;sym;ic;0;-1;1;-99999;-1;GXQH;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;599.851446477;1
26;20;m;r;n;n;n;1;series1c;54;0;-60;0;8;2;8;as;ic;0;9;0;1;1.19016091079;LBJG;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;606.668504138;1
26;20;m;r;n;n;n;1;series1c;55;1;10;0;2;2;8;sym;c;0;1;0;1;1.15158156249;QZMP;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_d_b.png;613.8523551;1
26;20;m;r;n;n;n;1;series1c;56;0;60;0;7;2;8;sym;ic;0;9;0;1;1.42960420562;HMXD;HMXD;1;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_s_g.png;625.866564032;1
26;20;m;r;n;n;n;1;series1c;57;0;120;0;3;2;8;as;ic;0;9;0;1;1.21114617813;LVBF;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;634.331967078;1
26;20;m;r;n;n;n;1;series1c;58;0;-10;0;7;2;8;sym;ic;0;9;0;1;1.60148307802;WKMQ;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_s_g.png;641.835820576;1
26;20;m;r;n;n;n;1;series1c;59;0;10;0;6;2;8;sym;ic;0;9;0;1;0.992184936476;YQZJ;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;648.667737393;1
26;20;m;r;n;n;n;1;series1c;60;1;-120;0;7;2;8;sym;c;0;1;0;1;1.35869266959;TWRC;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_d_g.png;655.83556761;1
26;20;m;r;n;n;n;1;series1c;61;0;-120;0;4;2;8;as;c;0;9;0;1;2.0058954842;CLKY;CLKY;1;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;668.126192945;1
26;20;m;r;n;n;n;1;series1c;62;1;120;0;6;2;8;as;ic;0;1;0;1;1.03265277167;QKRG;QKRG;1;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;678.95257652;1
26;20;m;r;n;n;n;1;series1c;63;1;60;0;1;2;8;sym;ic;0;1;0;1;1.23981247953;FMWQ;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;686.650915792;1
26;20;m;r;n;n;n;1;series1c;64;0;-10;0;6;2;8;as;ic;0;9;0;1;1.44017683434;ZBKW;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;694.042869498;1
26;20;m;r;n;n;n;1;series1c;65;1;60;0;5;2;8;sym;c;0;1;0;1;1.09999290611;BNQL;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_d_e.png;701.034773395;1
26;20;m;r;n;n;n;1;series1c;66;1;120;0;1;2;8;sym;ic;0;1;0;1;1.02589877456;LBMQ;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;708.042663624;1
26;20;m;r;n;n;n;1;series1c;67;0;-10;0;4;2;8;as;c;0;9;0;1;1.17103243423;HYQF;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;715.098499263;1
26;20;m;r;n;n;n;1;series1c;68;1;120;0;3;2;8;as;c;0;9;0;0;1.26966361326;YJHF;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;722.1703644;1
26;20;m;r;n;n;n;1;series1c;69;0;-10;0;1;2;8;sym;ic;0;9;0;1;1.18260635946;JSKF;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;729.290226567;1
26;20;m;r;n;n;n;1;series1c;70;1;120;0;9;2;8;as;c;0;1;0;1;0.929428971183;FCQL;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;736.010086017;1
26;20;m;r;n;n;n;1;series1c;71;1;-60;0;1;2;8;sym;c;0;1;0;1;1.1178565553;NWBM;NWBM;1;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;747.154459875;1
26;20;m;r;n;n;n;1;series1c;72;1;60;0;2;2;8;as;c;0;1;0;1;1.61981945268;KMCJ;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;756.137736683;1
26;20;m;r;n;n;n;1;series1c;73;0;60;0;7;2;8;as;ic;0;1;0;0;1.02755904918;WMPS;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;763.017628796;1
26;20;m;r;n;n;n;1;series1c;74;0;10;0;10;2;8;sym;c;0;9;0;1;1.57455131078;YVNT;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_s_j.png;770.553469144;1
26;20;m;r;n;n;n;1;series1c;75;1;120;0;9;2;8;sym;ic;0;1;0;1;1.18823619973;FRWS;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;777.561343373;1
26;20;m;r;n;n;n;1;series1c;76;0;-10;0;10;2;8;as;c;0;9;0;1;1.15809225391;VHLN;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;784.473221129;1
26;20;m;r;n;n;n;1;series1c;77;1;-60;0;9;2;8;as;ic;0;1;0;1;0.951414327559;QRHF;QRHF;1;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;795.903486426;1
26;20;m;r;n;n;n;1;series1c;78;1;-60;0;2;2;8;sym;ic;0;1;0;1;1.42980283484;CLTK;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_d_b.png;803.44886641;1
26;20;m;r;n;n;n;1;series1c;79;1;120;0;7;2;8;as;ic;0;1;0;1;1.17331485901;YDZH;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;810.664762784;1
26;20;m;r;n;n;n;1;series1c;80;0;10;0;2;2;8;sym;ic;0;9;0;1;1.32134071703;RLZG;RLZG;1;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;821.643085334;1
26;20;m;r;n;n;n;1;series1c;81;0;-10;0;6;2;8;as;c;0;9;0;1;1.64935120996;XKRB;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;829.704469912;1
26;20;m;r;n;n;n;1;series1c;82;0;-10;0;1;2;8;as;c;0;9;0;1;1.32973355611;DVBL;DVBL;1;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;840.627918574;1
