subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
36;26;m;r;c;n;n;1;series1c;0;0;120;0;9;2;8;as;ic;0;9;0;1;2.50470125279;RJHQ;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;225.987215997;1
36;26;m;r;c;n;n;1;series1c;1;0;-120;0;4;2;8;as;c;0;1;0;0;1.76900952496;ZRQJ;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;234.595060153;1
36;26;m;r;c;n;n;1;series1c;2;1;10;0;7;2;8;sym;ic;0;9;0;0;1.13420093502;NJTC;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_d_g.png;243.538761036;1
36;26;m;r;c;n;n;1;series1c;3;0;60;0;2;2;8;sym;ic;0;9;0;1;0.868990386836;BZMS;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;250.882535996;1
36;26;m;r;c;n;n;1;series1c;4;0;-120;0;8;2;8;sym;ic;0;9;0;1;0.866199036827;RKTW;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;258.81833072;1
36;26;m;r;c;n;n;1;series1c;5;1;-120;0;6;2;8;sym;c;0;1;0;1;0.621802716516;GQMR;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;265.666136188;1
36;26;m;r;c;n;n;1;series1c;6;0;-60;0;3;2;8;as;ic;0;9;0;1;0.677916186396;ZXRP;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;272.513947694;1
36;26;m;r;c;n;n;1;series1c;7;1;-120;0;1;2;8;sym;c;0;1;0;1;0.564778216416;MJHX;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;279.233839179;1
36;26;m;r;c;n;n;1;series1c;8;0;-60;0;6;2;8;as;c;0;9;0;1;0.677171484334;MJYQ;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;286.001603208;1
36;26;m;r;c;n;n;1;series1c;9;0;60;0;5;2;8;as;c;0;9;0;1;0.6945601427;MNWB;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_s_e.png;292.833452671;1
36;26;m;r;c;n;n;1;series1c;10;1;-10;0;8;2;8;as;c;0;1;0;1;0.600191865582;WKTD;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;299.457232908;1
36;26;m;r;c;n;n;1;series1c;11;0;10;0;6;2;8;sym;ic;0;9;0;1;0.535185137298;LJWQ;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;306.097056993;1
36;26;m;r;c;n;n;1;series1c;12;1;-60;0;3;2;8;as;c;0;9;0;0;0.614356600912;ZNTR;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;312.704816928;1
36;26;m;r;c;n;n;1;series1c;13;0;10;0;5;2;8;sym;c;0;9;0;1;0.731067148969;FQRK;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;319.728688751;1
36;26;m;r;c;n;n;1;series1c;14;1;-10;0;8;2;8;as;ic;0;1;0;1;0.617070673499;BDTC;BDTC;1;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;330.168849355;1
36;26;m;r;c;n;n;1;series1c;15;1;-10;0;2;2;8;as;c;0;9;0;0;0.615907887695;ZQLY;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;336.83223887;1
36;26;m;r;c;n;n;1;series1c;16;0;60;0;10;2;8;as;c;0;9;0;1;0.747107072268;LKYJ;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;343.728039438;1
36;26;m;r;c;n;n;1;series1c;17;1;10;0;1;2;8;as;ic;0;9;0;0;0.522661342518;JVQW;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;350.207867278;1
36;26;m;r;c;n;n;1;series1c;18;1;10;0;10;2;8;sym;c;0;1;0;1;1.0821557059;SDBW;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;357.423702597;1
36;26;m;r;c;n;n;1;series1c;19;0;60;0;4;2;8;as;ic;0;9;0;1;0.721707809949;RGYK;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;364.079465481;1
36;26;m;r;c;n;n;1;series1c;20;1;60;0;4;2;8;as;c;0;1;0;1;0.65609553922;CGZV;ZGCW;0;2d_8u_as_c_s_d.png;2d_8u_as_c_d_d.png;374.903461612;1
