subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
9;19;m;r;c;n;n;1;series1c;0;1;10;0;8;2;8;sym;c;0;9;0;0;2.38441330707;KTYN;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;170.701536554;1
9;19;m;r;c;n;n;1;series1c;1;1;120;0;3;2;8;sym;ic;0;9;0;0;2.84554522019;RPKJ;RPKJ;1;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_d_c.png;187.084203121;1
9;19;m;r;c;n;n;1;series1c;2;1;120;0;6;2;8;as;ic;0;1;0;1;2.02249043703;MCPN;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;197.400408567;1
9;19;m;r;c;n;n;1;series1c;3;0;-10;0;2;2;8;sym;c;0;9;0;1;1.19669700984;DSFJ;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;205.833540034;1
9;19;m;r;c;n;n;1;series1c;4;1;-60;0;10;2;8;as;ic;0;1;0;1;1.66499039531;SKDJ;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;214.599776854;1
9;19;m;r;c;n;n;1;series1c;5;1;-10;0;6;2;8;as;c;0;1;0;1;1.32979729469;ZVJD;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;222.649412813;1
9;19;m;r;c;n;n;1;series1c;6;0;120;0;7;2;8;as;ic;0;1;0;0;2.94076964341;CLHV;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;233.782331848;1
9;19;m;r;c;n;n;1;series1c;7;1;120;0;6;2;8;sym;ic;0;1;0;1;1.20716205006;KGPL;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;244.998398261;1
9;19;m;r;c;n;n;1;series1c;8;0;120;0;7;2;8;sym;ic;0;9;0;1;1.1461894447;QHCP;QHCP;1;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_s_g.png;261.347725678;1
9;19;m;r;c;n;n;1;series1c;9;0;60;0;8;2;8;sym;ic;0;9;0;1;1.15919583885;BNFY;BNFY;1;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;274.563915918;1
9;19;m;r;c;n;n;1;series1c;10;0;10;0;4;2;8;sym;c;0;9;0;1;1.43150823354;WTSK;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_s_d.png;283.646699833;1
9;19;m;r;c;n;n;1;series1c;11;1;-10;0;1;2;8;sym;c;0;1;0;1;1.19776301831;NFHD;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;291.663131056;1
9;19;m;r;c;n;n;1;series1c;12;1;-60;0;4;2;8;sym;c;0;1;0;1;1.12655089307;CDSL;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;299.762941914;1
9;19;m;r;c;n;n;1;series1c;13;1;-120;0;9;2;8;sym;c;0;1;0;1;0.929591150605;FSTX;FSTX;1;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;312.512154037;1
9;19;m;r;c;n;n;1;series1c;14;0;60;0;7;2;8;sym;c;0;9;0;1;1.04524809809;DFBS;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_s_g.png;321.345272864;1
9;19;m;r;c;n;n;1;series1c;15;1;120;0;9;2;8;as;ic;0;1;0;1;1.44873310835;NFKT;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;329.46153323;1
9;19;m;r;c;n;n;1;series1c;16;0;120;0;10;2;8;as;c;0;9;0;1;1.99773196515;KFHQ;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;338.094475683;1
9;19;m;r;c;n;n;1;series1c;17;1;120;0;8;2;8;as;ic;0;9;0;0;1.70198085741;CVQH;CVQH;1;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;351.093844996;1
9;19;m;r;c;n;n;1;series1c;18;0;-10;0;1;2;8;sym;c;0;9;0;1;1.29430687951;DHKM;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;359.576814203;1
9;19;m;r;c;n;n;1;series1c;19;1;-60;0;2;2;8;as;ic;0;1;0;1;1.18653704762;CJBG;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;367.176572451;1
9;19;m;r;c;n;n;1;series1c;20;1;-60;0;1;2;8;sym;ic;0;-1;1;-99999;-1;MKSQ;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;376.32618897;1
9;19;m;r;c;n;n;1;series1c;21;1;60;0;6;2;8;as;ic;0;1;0;1;1.06707544765;LSYV;LSYV;1;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;392.158716247;1
9;19;m;r;c;n;n;1;series1c;22;1;10;0;9;2;8;as;ic;0;1;0;1;1.02395455458;ZFMJ;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;400.29171484;1
9;19;m;r;c;n;n;1;series1c;23;0;-120;0;9;2;8;sym;c;0;9;0;1;1.1163011078;MNGL;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;408.291510813;1
9;19;m;r;c;n;n;1;series1c;24;1;10;0;7;2;8;as;c;0;1;0;1;1.30258665048;DNXV;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;416.224400719;1
