subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
8;19;m;r;n;n;n;1;series1c;0;0;60;0;8;2;8;as;ic;0;-1;1;-99999;-1;GXKJ;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;182.74987136;1
8;19;m;r;n;n;n;1;series1c;1;0;-10;0;5;2;8;sym;ic;0;9;0;1;1.09491132537;RTCW;RTCW;1;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;198.682484419;1
8;19;m;r;n;n;n;1;series1c;2;0;10;0;8;2;8;sym;ic;0;9;0;1;2.2646046048;CLDR;CLDR;1;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;212.198516891;1
8;19;m;r;n;n;n;1;series1c;3;1;120;0;4;2;8;sym;c;0;1;0;1;1.34107170592;ZSBK;ZSBK;1;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;226.41464201;1
8;19;m;r;n;n;n;1;series1c;4;0;60;0;7;2;8;as;c;0;1;0;0;1.72943723225;ZWDL;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;234.780991237;1
8;19;m;r;n;n;n;1;series1c;5;0;-10;0;3;2;8;as;ic;0;9;0;1;1.43968951982;CDHV;CDHV;1;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;249.163578568;1
8;19;m;r;n;n;n;1;series1c;6;0;-10;0;10;2;8;as;c;0;9;0;1;1.31085840147;ZTXG;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;257.030009278;1
8;19;m;r;n;n;n;1;series1c;7;0;60;0;6;2;8;sym;ic;0;9;0;1;1.62753221125;TDWL;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;265.229957565;1
8;19;m;r;n;n;n;1;series1c;8;0;-120;0;4;2;8;as;ic;0;1;0;0;1.46987363172;DLVT;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;273.029296146;1
8;19;m;r;n;n;n;1;series1c;9;1;-120;0;1;2;8;sym;c;0;1;0;1;1.99462247966;YSMC;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;282.029725693;1
8;19;m;r;n;n;n;1;series1c;10;0;-10;0;4;2;8;sym;c;0;9;0;1;1.19694338192;LGVN;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_s_d.png;290.39524149;1
8;19;m;r;n;n;n;1;series1c;11;0;-60;0;6;2;8;as;c;0;9;0;1;1.49455799954;XGKN;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;298.045523983;1
8;19;m;r;n;n;n;1;series1c;12;1;-10;0;10;2;8;as;c;0;1;0;1;1.51999656099;HWVG;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;305.844576734;1
8;19;m;r;n;n;n;1;series1c;13;1;-60;0;1;2;8;sym;c;0;1;0;1;1.30159987893;XFGV;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;313.294243683;1
8;19;m;r;n;n;n;1;series1c;14;0;-60;0;4;2;8;as;c;0;1;0;0;1.35459490388;PQCM;PQCM;1;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;324.79370346;1
8;19;m;r;n;n;n;1;series1c;15;0;10;0;10;2;8;sym;c;0;9;0;1;1.55207786639;HPFY;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_s_j.png;334.293362774;1
8;19;m;r;n;n;n;1;series1c;16;0;-10;0;1;2;8;as;c;0;1;0;0;1.39383671945;SQBP;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;341.893021574;1
8;19;m;r;n;n;n;1;series1c;17;1;-120;0;8;2;8;sym;c;0;1;0;1;1.96534878982;STHQ;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;351.792595107;1
8;19;m;r;n;n;n;1;series1c;18;0;-60;0;10;2;8;sym;ic;0;9;0;1;2.41158770141;GDFP;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_s_j.png;361.076393318;1
