subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
14;20;m;r;n;n;n;1;series1c;0;1;-120;0;8;2;8;sym;ic;0;1;0;1;1.58042830252;TGQL;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;302.141034237;1
14;20;m;r;n;n;n;1;series1c;1;1;-10;0;10;2;8;sym;c;0;1;0;1;1.42660549283;BPYR;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;312.62378851;1
14;20;m;r;n;n;n;1;series1c;2;0;60;0;8;2;8;sym;ic;0;9;0;1;1.51691915537;KCPB;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;320.673527125;1
14;20;m;r;n;n;n;1;series1c;3;0;-60;0;9;2;8;sym;ic;0;9;0;1;1.27720775711;QBZH;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;328.623211717;1
14;20;m;r;n;n;n;1;series1c;4;0;120;0;5;2;8;as;ic;0;9;0;1;2.84613163699;SPNK;SPNK;1;2d_8u_as_c_s_e.png;2d_8u_as_c_s_e.png;343.205898751;1
14;20;m;r;n;n;n;1;series1c;5;1;120;0;1;2;8;sym;c;0;1;0;1;1.79653962678;XCDV;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;353.188764341;1
14;20;m;r;n;n;n;1;series1c;6;0;120;0;1;2;8;as;ic;0;9;0;1;1.6007883267;RKBP;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;361.688442261;1
14;20;m;r;n;n;n;1;series1c;7;1;120;0;10;2;8;sym;ic;0;1;0;1;2.08627579059;ZNPQ;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;370.438000203;1
14;20;m;r;n;n;n;1;series1c;8;0;60;0;3;2;8;as;ic;0;9;0;1;2.30447999435;TXRW;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;379.40424979;1
14;20;m;r;n;n;n;1;series1c;9;0;-120;0;2;2;8;as;c;0;9;0;1;1.5382858403;SCPK;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_s_b.png;387.603982823;1
14;20;m;r;n;n;n;1;series1c;10;0;10;0;1;2;8;as;c;0;1;0;0;2.26971393893;XNTM;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;396.453589975;1
14;20;m;r;n;n;n;1;series1c;11;1;60;0;2;2;8;sym;c;0;9;0;0;1.36263632285;BPTF;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_d_b.png;404.63665247;1
14;20;m;r;n;n;n;1;series1c;12;1;120;0;3;2;8;sym;ic;0;9;0;0;1.9894990304;FTWB;-99;-99;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_d_c.png;413.586152604;1
14;20;m;r;n;n;n;1;series1c;13;1;10;0;7;2;8;as;ic;0;9;0;0;1.96702687885;CLQD;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;422.335805823;1
14;20;m;r;n;n;n;1;series1c;14;1;-10;0;3;2;8;as;ic;0;9;0;0;1.50129922782;PKGR;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;430.918819428;1
14;20;m;r;n;n;n;1;series1c;15;0;10;0;10;2;8;as;ic;0;-1;1;-99999;-1;FNWH;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;440.584996452;1
14;20;m;r;n;n;n;1;series1c;16;1;60;0;1;2;8;as;c;0;1;0;1;1.16783586494;XLPJ;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;450.934704655;1
14;20;m;r;n;n;n;1;series1c;17;0;-10;0;10;2;8;as;c;0;9;0;1;0.899298930308;LZNY;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;458.584298718;1
14;20;m;r;n;n;n;1;series1c;18;1;-10;0;4;2;8;sym;ic;0;9;0;0;1.09565300797;YJKL;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;467.484027837;1
