subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
161;23;m;r;c;n;n;1;series1c;0;1;-120;0;8;2;8;sym;c;0;9;0;0;1.48924046219;DYNX;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;241.767757084;1
161;23;m;r;c;n;n;1;series1c;1;0;-60;0;8;2;8;sym;c;0;9;0;1;1.34945763578;HNYC;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;251.534319502;1
161;23;m;r;c;n;n;1;series1c;2;1;-120;0;9;2;8;as;c;0;9;0;0;1.21345535992;CYZQ;CYZQ;1;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;266.934130347;1
161;23;m;r;c;n;n;1;series1c;3;1;10;0;10;2;8;sym;ic;0;9;0;0;0.605026986683;LXJT;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;275.800713671;1
161;23;m;r;c;n;n;1;series1c;4;0;60;0;2;2;8;as;ic;0;9;0;1;0.861114026513;BTZD;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_s_b.png;284.850660693;1
161;23;m;r;c;n;n;1;series1c;5;0;120;0;6;2;8;as;ic;0;9;0;1;1.61714943987;TVHR;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;293.917198222;1
161;23;m;r;c;n;n;1;series1c;6;0;10;0;9;2;8;sym;c;0;1;0;0;1.29331797315;JHZG;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;302.483811271;1
161;23;m;r;c;n;n;1;series1c;7;1;-60;0;3;2;8;as;c;0;9;0;0;1.62620017771;BHQT;BHQT;1;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;315.050277262;1
161;23;m;r;c;n;n;1;series1c;8;0;10;0;2;2;8;sym;ic;0;9;0;1;0.706170880003;BLHG;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;322.983547164;1
161;23;m;r;c;n;n;1;series1c;9;1;-10;0;3;2;8;sym;c;0;9;0;0;1.28631153796;JBLH;-99;-99;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_d_c.png;331.466799502;1
161;23;m;r;c;n;n;1;series1c;10;0;-60;0;2;2;8;sym;c;0;9;0;1;1.35374307539;HMXD;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;340.650013582;1
161;23;m;r;c;n;n;1;series1c;11;0;60;0;2;2;8;sym;ic;0;9;0;1;1.66982371546;QMKY;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;349.466597831;1
161;23;m;r;c;n;n;1;series1c;12;1;10;0;9;2;8;sym;c;0;9;0;0;1.45049827546;RWFY;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;357.933176889;1
161;23;m;r;c;n;n;1;series1c;13;0;120;0;5;2;8;as;ic;0;9;0;1;1.78145166207;NTHD;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_s_e.png;367.183091769;1
161;23;m;r;c;n;n;1;series1c;14;0;-120;0;5;2;8;sym;c;0;1;0;0;1.20270421333;ZLCG;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;375.482978418;1
161;23;m;r;c;n;n;1;series1c;15;0;-60;0;6;2;8;as;ic;0;9;0;1;1.14079317334;VHFY;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;384.166227627;1
161;23;m;r;c;n;n;1;series1c;16;1;60;0;5;2;8;as;ic;0;9;0;0;0.686826382298;WRKC;-99;-99;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;391.8661376;1
161;23;m;r;c;n;n;1;series1c;17;0;120;0;3;2;8;as;c;0;9;0;1;1.1783287467;RSZT;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;401.266086969;1
161;23;m;r;c;n;n;1;series1c;18;0;-10;0;10;2;8;as;c;0;9;0;1;1.77434851555;JKXY;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;410.165955413;1
161;23;m;r;c;n;n;1;series1c;19;0;60;0;7;2;8;sym;ic;0;9;0;1;0.812690204475;SQYW;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_s_g.png;418.849225671;1
161;23;m;r;c;n;n;1;series1c;20;1;-60;0;9;2;8;sym;ic;0;9;0;0;1.27060479997;LDWV;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;427.065734542;1
