subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
101;18;m;r;c;n;n;1;series1c;0;0;10;0;8;2;8;as;c;0;1;0;0;0.95855280559;LKGP;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;285.356617733;1
101;18;m;r;c;n;n;1;series1c;1;1;-10;0;3;2;8;as;ic;0;1;0;1;1.27677770413;KWDL;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;294.515460102;1
101;18;m;r;c;n;n;1;series1c;2;1;10;0;4;2;8;as;c;0;1;0;1;1.04550564196;CKXV;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_d_d.png;304.425035342;1
101;18;m;r;c;n;n;1;series1c;3;1;-10;0;7;2;8;as;c;0;1;0;1;1.09155798529;GCBY;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;313.117019709;1
101;18;m;r;c;n;n;1;series1c;4;0;-60;0;1;2;8;sym;c;0;9;0;1;1.07962840237;QCLP;QCLP;1;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;325.862682649;1
101;18;m;r;c;n;n;1;series1c;5;1;120;0;1;2;8;sym;c;0;9;0;0;1.22409013461;QRPV;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;335.421673214;1
101;18;m;r;c;n;n;1;series1c;6;1;-120;0;1;2;8;sym;ic;0;9;0;0;1.93682384095;TMBK;TMBK;1;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;349.185195257;1
101;18;m;r;c;n;n;1;series1c;7;0;120;0;2;2;8;sym;c;0;9;0;1;1.10922281351;NWLJ;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;358.24394632;1
101;18;m;r;c;n;n;1;series1c;8;0;-60;0;9;2;8;as;c;0;9;0;1;1.31014213676;YFVZ;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_s_i.png;367.219012524;1
101;18;m;r;c;n;n;1;series1c;9;1;-10;0;4;2;8;sym;c;0;9;0;0;1.21079664247;QCKV;QCKV;1;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_d_d.png;380.265216476;1
101;18;m;r;c;n;n;1;series1c;10;1;60;0;9;2;8;sym;c;0;1;0;1;1.63596453553;HJXY;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;389.691008155;1
101;18;m;r;c;n;n;1;series1c;11;1;10;0;9;2;8;as;ic;0;-1;1;-99999;-1;VRZG;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;400.234311062;1
101;18;m;r;c;n;n;1;series1c;12;1;-10;0;9;2;8;sym;c;0;1;0;1;1.35212152591;DCXK;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;409.443253698;1
101;18;m;r;c;n;n;1;series1c;13;0;10;0;3;2;8;sym;ic;0;9;0;1;0.738985900185;XDCN;-99;-99;2d_8u_sym_ic_s_c.png;2d_8u_sym_ic_s_c.png;417.551067376;1
101;18;m;r;c;n;n;1;series1c;14;1;-120;0;3;2;8;as;c;0;9;0;0;1.608328806;SHQM;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;426.693264081;1
101;18;m;r;c;n;n;1;series1c;15;1;-60;0;8;2;8;as;c;0;1;0;1;0.958260397194;FJTZ;FJTZ;1;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;439.339068104;1
