subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
119;21;f;r;n;n;n;1;series1c;0;0;10;0;9;2;8;sym;c;0;9;0;1;1.57751971064;RQBW;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_s_i.png;323.975258432;1
119;21;f;r;n;n;n;1;series1c;1;0;10;0;1;2;8;as;ic;0;9;0;1;0.835642455146;CJYN;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;334.991797469;1
119;21;f;r;n;n;n;1;series1c;2;1;60;0;6;2;8;sym;c;0;1;0;1;1.06272545783;NVKM;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_d_f.png;345.141720583;1
119;21;f;r;n;n;n;1;series1c;3;0;10;0;6;2;8;sym;ic;0;9;0;1;0.862676647026;QYLN;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;354.74164714;1
119;21;f;r;n;n;n;1;series1c;4;1;10;0;10;2;8;sym;ic;0;9;0;0;0.728073723614;HMNP;HMNP;1;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;370.708089493;1
119;21;f;r;n;n;n;1;series1c;5;0;120;0;8;2;8;sym;ic;0;1;0;0;1.33832021756;WRBS;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;381.341349554;1
119;21;f;r;n;n;n;1;series1c;6;0;60;0;3;2;8;as;ic;0;9;0;1;1.54055697657;JXVP;JXVP;1;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;395.291173795;1
119;21;f;r;n;n;n;1;series1c;7;1;60;0;3;2;8;as;ic;0;9;0;0;2.28307053493;NDKF;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;407.074418979;1
119;21;f;r;n;n;n;1;series1c;8;1;60;0;10;2;8;sym;ic;0;1;0;1;0.871205436997;LHVZ;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_d_j.png;416.957665529;1
119;21;f;r;n;n;n;1;series1c;9;1;60;0;2;2;8;as;c;0;9;0;0;0.734662315808;JHXB;-99;-99;2d_8u_as_c_s_b.png;2d_8u_as_c_d_b.png;426.240944846;1
