subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
139;32;m;r;n;n;n;1;series1c;0;0;-120;0;7;2;8;as;ic;0;9;0;1;1.47728156445;QCSP;QCSP;1;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;246.067237262;1
139;32;m;r;n;n;n;1;series1c;1;0;10;0;4;2;8;as;ic;0;9;0;1;1.14599025778;GTFZ;-99;-99;2d_8u_as_c_s_d.png;2d_8u_as_c_s_d.png;255.55053056;1
139;32;m;r;n;n;n;1;series1c;2;0;10;0;10;2;8;sym;c;0;9;0;1;0.858207288889;GJLS;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_s_j.png;265.267093333;1
139;32;m;r;n;n;n;1;series1c;3;1;60;0;9;2;8;as;ic;0;9;0;0;1.05559836444;CZWB;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;274.533627164;1
139;32;m;r;n;n;n;1;series1c;4;0;-60;0;8;2;8;sym;c;0;-1;1;-99999;-1;YPVT;VPVT;0;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_s_h.png;289.283442631;1
139;32;m;r;n;n;n;1;series1c;5;1;60;0;9;2;8;as;c;0;9;0;0;0.987852800004;KGYW;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;298.966705778;1
139;32;m;r;n;n;n;1;series1c;6;1;-60;0;8;2;8;sym;c;0;1;0;1;0.899437795553;JFDQ;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;307.499932444;1
139;32;m;r;n;n;n;1;series1c;7;1;10;0;7;2;8;as;ic;0;9;0;0;0.862032782221;SPLC;SPLC;1;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;321.999734613;1
139;32;m;r;n;n;n;1;series1c;8;1;-120;0;10;2;8;as;ic;0;1;0;1;2.19420074667;VQHN;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;331.616402204;1
139;32;m;r;n;n;n;1;series1c;9;1;-10;0;7;2;8;sym;ic;0;9;0;0;1.20032085334;RXNF;-99;-99;2d_8u_sym_ic_s_g.png;2d_8u_sym_ic_d_g.png;340.282933191;1
139;32;m;r;n;n;n;1;series1c;10;0;120;0;5;2;8;sym;ic;0;9;0;1;2.19509816889;FSLN;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_s_e.png;349.999540622;1
139;32;m;r;n;n;n;1;series1c;11;0;10;0;6;2;8;sym;c;0;9;0;1;1.31165866667;ZNMP;-99;-99;2d_8u_sym_ic_s_f.png;2d_8u_sym_ic_s_f.png;359.199451022;1
139;32;m;r;n;n;n;1;series1c;12;1;60;0;7;2;8;as;c;0;9;0;0;0.939923911115;GFQZ;-99;-99;2d_8u_as_c_s_g.png;2d_8u_as_c_d_g.png;368.132644124;1
