subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
138;17;m;r;n;n;n;1;series1c;0;1;-10;0;5;2;8;sym;ic;0;1;0;1;1.31284762696;HMDR;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_d_e.png;284.520872267;1
138;17;m;r;n;n;n;1;series1c;1;1;120;0;8;2;8;sym;c;0;1;0;1;1.18383318798;VZGT;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;293.029194834;1
138;17;m;r;n;n;n;1;series1c;2;1;120;0;6;2;8;as;ic;0;9;0;0;1.00779122442;NRVS;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;301.453939303;1
138;17;m;r;n;n;n;1;series1c;3;1;-10;0;8;2;8;sym;c;0;9;0;0;1.41541127004;LVRP;-99;-99;2d_8u_sym_ic_s_h.png;2d_8u_sym_ic_d_h.png;310.279234798;1
138;17;m;r;n;n;n;1;series1c;4;0;120;0;6;2;8;as;ic;0;-1;1;-99999;-1;SZMP;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_s_f.png;320.822545484;1
138;17;m;r;n;n;n;1;series1c;5;1;120;0;8;2;8;as;c;0;1;0;1;1.72497071642;NBVK;NBVK;1;2d_8u_as_c_s_h.png;2d_8u_as_c_d_h.png;334.019074861;1
138;17;m;r;n;n;n;1;series1c;6;1;120;0;10;2;8;as;c;0;9;0;0;1.85308602575;KCFD;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;343.411151426;1
138;17;m;r;n;n;n;1;series1c;7;1;120;0;9;2;8;sym;c;0;9;0;0;1.84405064025;HJRY;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;353.387489611;1
138;17;m;r;n;n;n;1;series1c;8;1;-120;0;9;2;8;sym;ic;0;1;0;1;2.92518507394;ZXGF;-99;-99;2d_8u_sym_ic_s_i.png;2d_8u_sym_ic_d_i.png;363.630768609;1
138;17;m;r;n;n;n;1;series1c;9;1;-10;0;3;2;8;as;ic;0;1;0;1;1.68144356817;XBKT;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;372.439284997;1
138;17;m;r;n;n;n;1;series1c;10;0;120;0;8;2;8;as;ic;0;1;0;0;2.3090178637;NGRX;-99;-99;2d_8u_as_c_s_h.png;2d_8u_as_c_s_h.png;381.781814712;1
138;17;m;r;n;n;n;1;series1c;11;0;-120;0;1;2;8;as;ic;0;1;0;0;2.12231775771;CNSD;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_s_a.png;391.240890232;1
138;17;m;r;n;n;n;1;series1c;12;1;120;0;3;2;8;as;ic;0;1;0;1;2.37861493642;DTMS;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_d_c.png;400.86712394;1
138;17;m;r;n;n;n;1;series1c;13;1;10;0;5;2;8;as;c;0;1;0;1;1.9082048639;CBSF;CBSF;1;2d_8u_as_c_s_e.png;2d_8u_as_c_d_e.png;413.496197828;1
138;17;m;r;n;n;n;1;series1c;14;0;-10;0;10;2;8;as;ic;0;9;0;1;1.42053667886;LVBF;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_s_j.png;422.538113597;1
138;17;m;r;n;n;n;1;series1c;15;0;120;0;3;2;8;as;c;0;9;0;1;1.89298934869;VMJD;-99;-99;2d_8u_as_c_s_c.png;2d_8u_as_c_s_c.png;431.396500534;1
