subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;startSym;congruence;IV9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns
112;18;f;r;n;n;n;1;series1c;0;1;60;0;6;2;8;as;ic;0;1;0;1;0.865973361302;VGMD;-99;-99;2d_8u_as_c_s_f.png;2d_8u_as_c_d_f.png;270.831899732;2
112;18;f;r;n;n;n;1;series1c;1;1;120;0;1;2;8;as;ic;0;1;0;1;1.09613433969;WYPR;-99;-99;2d_8u_as_c_s_a.png;2d_8u_as_c_d_a.png;279.69857368;2
112;18;f;r;n;n;n;1;series1c;2;1;60;0;10;2;8;as;c;0;1;0;1;0.669468731387;KDBW;-99;-99;2d_8u_as_c_s_j.png;2d_8u_as_c_d_j.png;287.948378125;2
112;18;f;r;n;n;n;1;series1c;3;0;10;0;2;2;8;sym;c;0;1;0;0;0.964347987436;YFZH;-99;-99;2d_8u_sym_ic_s_b.png;2d_8u_sym_ic_s_b.png;296.065007842;2
112;18;f;r;n;n;n;1;series1c;4;0;10;0;7;2;8;as;ic;0;1;0;0;0.720332845813;NRKV;NRKV;1;2d_8u_as_c_s_g.png;2d_8u_as_c_s_g.png;307.414841812;2
112;18;f;r;n;n;n;1;series1c;5;1;-10;0;5;2;8;sym;ic;0;9;0;0;0.880451311357;ZTFK;-99;-99;2d_8u_sym_ic_s_e.png;2d_8u_sym_ic_d_e.png;315.681595177;2
112;18;f;r;n;n;n;1;series1c;6;0;-10;0;10;2;8;sym;ic;0;1;0;0;0.632604415296;YJPK;-99;-99;2d_8u_sym_ic_s_j.png;2d_8u_sym_ic_s_j.png;324.448061253;2
112;18;f;r;n;n;n;1;series1c;7;1;-60;0;1;2;8;sym;ic;0;9;0;0;2.808509561;DHWC;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_d_a.png;334.614684116;2
112;18;f;r;n;n;n;1;series1c;8;0;60;0;4;2;8;sym;ic;0;1;0;0;0.620677365223;JSKM;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_s_d.png;342.33120398;2
112;18;f;r;n;n;n;1;series1c;9;0;120;0;1;2;8;sym;ic;0;1;0;0;0.782005289569;NQRG;-99;-99;2d_8u_sym_ic_s_a.png;2d_8u_sym_ic_s_a.png;350.464464325;2
112;18;f;r;n;n;n;1;series1c;10;1;-10;0;9;2;8;as;c;0;9;0;0;1.00900381221;XSMH;-99;-99;2d_8u_as_c_s_i.png;2d_8u_as_c_d_i.png;358.614350462;2
112;18;f;r;n;n;n;1;series1c;11;0;-10;0;4;2;8;sym;ic;0;1;0;0;0.530943884049;RWCS;-99;-99;2d_8u_sym_ic_s_d.png;2d_8u_sym_ic_s_d.png;366.080994202;2
